MAP    ,FACILITY    ,STREET    ,CITY    ,ST    ,ZIP    ,DIST    ,MILES    ,DIR    ,REL ELEV    ,ELEV    ,Elev Diff from TP    ,TP    ,DB NAME    ,FIELD DESC    ,FIELD VALUE    ,EPA-ID    ,EDR ID    
A1,"SATELLITE HEALTHCARE, INC",345 CONVENTION WAY,REDWOOD CITY,CA,94063,0,0.000,W,High,4,0,Y,FINDS,Registry ID:,110054283734,110054283734,1015950970
A2,"SATELLITE HEALTHCARE, INC",345 CONVENTION WAY,REDWOOD CITY,CA,94063,0,0.000,W,High,4,0,Y,EMI,Facility Id,18300,,S103654330
A2,"SATELLITE HEALTHCARE, INC",345 CONVENTION WAY,REDWOOD CITY,CA,94063,0,0.000,W,High,4,0,Y,CERS,,,,S103654330
A3,REDWOOD CITY MRI,345 CONVENTION WAY STE 1D,REDWOOD CITY,CA,940630000,0,0.000,W,High,4,0,Y,HAZNET,GEPAID,CAL000216892,,S113109655
A4,SATELLITE LABORATORY SERVICES,345 CONVENTION WAY,REDWOOD CITY,CA,940630000,0,0.000,W,High,4,0,Y,HAZNET,GEPAID,CAL000180101,,S113095377
A5,SATELLITE LABORATORY SERVICES,345 CONVENTION,REDWOOD CITY,CA,94063,0,0.000,W,High,4,0,Y,San Mateo Co. BI,Facility Id,FA0013510,,S123180323
A6,HEALTH DIAGNOSTICS OF CALIFORNIA LLC,345 CONVENTION,REDWOOD CITY,CA,94063,0,0.000,W,High,4,0,Y,San Mateo Co. BI,Facility Id,FA0049894,,S123182964
A7,REDWOOD CITY MRI,345 CONVENTION WAY SUITE 1D,REDWOOD CITY,CA,940630000,0,0.000,W,High,4,0,Y,HAZNET,GEPAID,CAL920275244,,S113164586
A8,SATELLITE DIALYSIS CENTER,345 CONVENTION,REDWOOD CITY,CA,940631402,0,0.000,W,High,4,0,Y,San Mateo Co. BI,Facility Id,FA0025558,,S123181014
A9,BRUGGER PLAZA CONDOMINIUM ASSOCIATION,335 CONVENTION WAY,REDWOOD CITY,CA,94063,0,0.000,NE,High,4,0,,HAZNET,GEPAID,CAC002806259,,S123044714
A10,STUDEBAKERS WEST,335 CONVENTION,REDWOOD CITY,CA,94063,0,0.000,NE,High,4,0,,San Mateo Co. BI,Facility Id,FA0023342,,S113756934
A11,BRUGGER PLAZA CONDOMINUM ASSOC,335 CONVENTION WAY,REDWOOD CITY,CA,94063,0,0.000,NE,High,4,0,,HIST UST,Facility Id,00000035223,,U001594539
A12,BRUGGER PLAZA CONDOMINUM ASSOC,335 CONVENTION WY,REDWOOD CITY,CA,94063,0,0.000,NE,High,4,0,,HIST UST,Facility Id,Not reported,,S118230476
A13,BLOOD CENTERS OF THE PACIFIC,260 MAIN,REDWOOD CITY,CA,94062,0,0.000,W,High,4,0,,San Mateo Co. BI,Facility Id,FA0016764,,S123180496
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,FINDS,Registry ID:,110002731250,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,RCRA NonGen / NLR,EPA Id,CAD981632581,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,ECHO,Registry ID,110002731250,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,CA FID UST,Status,A,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,CA FID UST,Facility Id,41000086,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,HIST UST,Facility Id,00000012019,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,LUST,Facility Status,Case Closed,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,LUST,Facility Id,Not reported,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,LUST,date9,10/25/2002,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,SWEEPS UST,Status,Not reported,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,SWEEPS UST,Comp Number,330065,CAD981632581,1000332627
A14,AUTOHAUS BRUGGER,201 MAIN ST,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,SWEEPS UST,Tank Status,Not reported,CAD981632581,1000332627
A15,AUTOBAHN INC,201 MAIN ST,REDWOOD CITY,CA,940630000,52,0.010,ESE,Low,1,-3,,HAZNET,GEPAID,CAD981632581,,S113008385
A16,AUTOBAHN MOTORS,201 MAIN,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,San Mateo Co. BI,Facility Id,FA0017307,,S113756331
A17,1X BRUGGER CORP,201 MAIN ST,REDWOOD CITY,CA,940630000,52,0.010,ESE,Low,1,-3,,HAZNET,GEPAID,CAC000847400,,S112847808
A18,AUTOHAUS BRUGGER,201 MAIN STREET,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,LUST,Facility Status,9- Case Closed,,S103893002
A18,AUTOHAUS BRUGGER,201 MAIN STREET,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,LUST,Status,Completed - Case Closed,,S103893002
A18,AUTOHAUS BRUGGER,201 MAIN STREET,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,LUST,Facility Id,330056,,S103893002
A18,AUTOHAUS BRUGGER,201 MAIN STREET,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,LUST,Global Id,T0608100048,,S103893002
A18,AUTOHAUS BRUGGER,201 MAIN STREET,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,LUST,Global ID,T0608100048,,S103893002
A18,AUTOHAUS BRUGGER,201 MAIN STREET,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,HIST CORTESE,Reg Id,41-0049,,S103893002
A18,AUTOHAUS BRUGGER,201 MAIN STREET,REDWOOD CITY,CA,94063,52,0.010,ESE,Low,1,-3,,CERS,,,,S103893002
A19,AUTOHAUS BROGGER,360 CONVENTION WY,REDWOOD CITY,CA,940630000,76,0.014,N,High,4,0,,HAZNET,GEPAID,CAL000002042,,S123763033
A20,EUROTECH COLLISION RESTORATION,360 CONVENTION WAY,REDWOOD,CA,940630000,76,0.014,N,High,4,0,,HAZNET,GEPAID,CAL000033359,,S113034492
A21,EUROTECH COLLISION REPAIR,360 CONVENTION,REDWOOD CITY,CA,94063,76,0.014,N,High,4,0,,San Mateo Co. BI,Facility Id,FA0006252,,S113755331
A22,COOKS AUTO BODY,360 CONVENTION WY,REDWOOD CITY,CA,94063,76,0.014,N,High,4,0,,RCRA-SQG,EPA Id,CAD981999089,CAD981999089,1000272044
A22,COOKS AUTO BODY,360 CONVENTION WY,REDWOOD CITY,CA,94063,76,0.014,N,High,4,0,,FINDS,Registry ID:,110002771901,CAD981999089,1000272044
A22,COOKS AUTO BODY,360 CONVENTION WY,REDWOOD CITY,CA,94063,76,0.014,N,High,4,0,,ECHO,Registry ID,110002771901,CAD981999089,1000272044
A23,AUTOBAHN MOTORS,350 CONVENTION,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,San Mateo Co. BI,Facility Id,FA0010942,,S113755595
A24,HARBOR PRINTING,350 CONVENTION,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,San Mateo Co. BI,Facility Id,FA0024748,,S113757221
A25,HARBOR PRINTING,350 CONVENTION WAY,REDWOOD CITY,CA,940630000,88,0.017,NE,Low,2,-2,,HAZNET,GEPAID,CAL000180974,,S113095913
A26,SAN MATEO CREDIT UNION,350 CONVENTION,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,San Mateo Co. BI,Facility Id,FA0065563,,S123482698
A27,BOARDWALK MOTOR CAR GROUP,350 CONVENTION WY,REDWOOD CITY,CA,940630000,88,0.017,NE,Low,2,-2,,HAZNET,GEPAID,CAD982012536,,S113012221
A28,SOUTH BAY CONSTRUCTION INC,350 CONVENTION WAY,REDWOOD CITY,CA,940630000,88,0.017,NE,Low,2,-2,,HAZNET,GEPAID,CAC002343545,,S112913468
A29,AUTOHOUSE BRUGGER,350 CONVENTION,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,LUST,Facility Status,Case Closed,,S102424791
A29,AUTOHOUSE BRUGGER,350 CONVENTION,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,LUST,Facility Id,Not reported,,S102424791
A29,AUTOHOUSE BRUGGER,350 CONVENTION,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,LUST,date9,2/6/2001,,S102424791
A29,AUTOHOUSE BRUGGER,350 CONVENTION,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,San Mateo Co. BI,Facility Id,FA0047041,,S102424791
A30,LIMA REALTY GROUP,350 CONVENTION WAY,REDWOOD CITY,CA,92257,88,0.017,NE,Low,2,-2,,EMI,Facility Id,15312,,S100178866
A30,LIMA REALTY GROUP,350 CONVENTION WAY,REDWOOD CITY,CA,92257,88,0.017,NE,Low,2,-2,,Notify 65,,,,S100178866
A30,LIMA REALTY GROUP,350 CONVENTION WAY,REDWOOD CITY,CA,92257,88,0.017,NE,Low,2,-2,,CHMIRS,Date Completed,Not reported,,S100178866
A30,LIMA REALTY GROUP,350 CONVENTION WAY,REDWOOD CITY,CA,92257,88,0.017,NE,Low,2,-2,,CHMIRS,OES Incident Number,1-1105,,S100178866
A31,DLC INC,350 CONVENTION WAY,REDWOOD CITY,CA,940630000,88,0.017,NE,Low,2,-2,,HAZNET,GEPAID,CAC002256793,,S112907859
A32,AUTOHAUS BRUGGER,350 CONVENTION WAY,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,LUST,Facility Status,9- Case Closed,,S103892904
A32,AUTOHAUS BRUGGER,350 CONVENTION WAY,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,LUST,Status,Completed - Case Closed,,S103892904
A32,AUTOHAUS BRUGGER,350 CONVENTION WAY,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,LUST,Facility Id,330001,,S103892904
A32,AUTOHAUS BRUGGER,350 CONVENTION WAY,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,LUST,Global Id,T0608100959,,S103892904
A32,AUTOHAUS BRUGGER,350 CONVENTION WAY,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,LUST,Global ID,T0608100959,,S103892904
A32,AUTOHAUS BRUGGER,350 CONVENTION WAY,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,HIST CORTESE,Reg Id,41-1046,,S103892904
A32,AUTOHAUS BRUGGER,350 CONVENTION WAY,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,CERS,,,,S103892904
A33,CRYSTAL SPRINGS CATERING,350 CONVENTION,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,San Mateo Co. BI,Facility Id,FA0026409,,S123181283
A34,BOARDWALK VOLKSWAGEN,350 CONVENTION WAY,REDWOOD CITY,CA,94062,88,0.017,NE,Low,2,-2,,CA FID UST,Status,A,,S101593667
A34,BOARDWALK VOLKSWAGEN,350 CONVENTION WAY,REDWOOD CITY,CA,94062,88,0.017,NE,Low,2,-2,,CA FID UST,Facility Id,41000087,,S101593667
A34,BOARDWALK VOLKSWAGEN,350 CONVENTION WAY,REDWOOD CITY,CA,94062,88,0.017,NE,Low,2,-2,,SWEEPS UST,Status,A,,S101593667
A34,BOARDWALK VOLKSWAGEN,350 CONVENTION WAY,REDWOOD CITY,CA,94062,88,0.017,NE,Low,2,-2,,SWEEPS UST,Comp Number,330057,,S101593667
A34,BOARDWALK VOLKSWAGEN,350 CONVENTION WAY,REDWOOD CITY,CA,94062,88,0.017,NE,Low,2,-2,,SWEEPS UST,Tank Status,Not reported,,S101593667
A35,BOARDWALK VOLKSWAGEN,350 CONVENTION WAY,REDWOOD CITY,CA,94063,88,0.017,NE,Low,2,-2,,HIST UST,Facility Id,00000006112,,1000354846
A36,BRUGGER CORP,350 CONVENTION WAY,REDWOOD CITY,CA,940640000,88,0.017,NE,Low,2,-2,,HAZNET,GEPAID,CAC001349288,,S112884147
B37,BROCKWAY PROPERTIES,305 MAIN ST,REDWOOD CITY,CA,940630000,124,0.023,SE,High,4,0,,HAZNET,GEPAID,CAC001408424,,S112888927
C38,CALIFORNIA HIGHWAY PATROL,355 CONVENTION WY,REDWOOD CITY,CA,94063,153,0.029,NW,High,4,0,,AST,,,,A100418155
C39,CALIFORNIA HIGHWAY PATROL,355 CONVENTION WY,REDWOOD CITY,CA,94063,153,0.029,NW,High,4,0,,CERS,,,,S121771811
