MAP    ,FACILITY    ,STREET    ,CITY    ,ST    ,ZIP    ,DIST    ,MILES    ,DIR    ,REL ELEV    ,ELEV    ,Elev Diff from TP    ,TP    ,DB NAME    ,FIELD DESC    ,FIELD VALUE    ,EPA-ID    ,EDR ID    
A1,"NADY SYSTEMS, INC.",1137-1167 65TH ST.,OAKLAND,CA,94608,0,0.000,E,High,38,0,Y,HAZNET,GEPAID,CAC002436511,,S112918884
A1,"NADY SYSTEMS, INC.",1137-1167 65TH ST.,OAKLAND,CA,94608,0,0.000,E,High,38,0,Y,LUST,Status,Completed - Case Closed,,S112918884
A1,"NADY SYSTEMS, INC.",1137-1167 65TH ST.,OAKLAND,CA,94608,0,0.000,E,High,38,0,Y,LUST,Global Id,T0600138389,,S112918884
A1,"NADY SYSTEMS, INC.",1137-1167 65TH ST.,OAKLAND,CA,94608,0,0.000,E,High,38,0,Y,CERS,,,,S112918884
A2,JOHN NADY,1137-1167 65TH ST,OAKLAND,CA,946080000,0,0.000,E,High,38,0,Y,HAZNET,GEPAID,CAC001465504,,S112893145
A3,NADY SYSTEMSNA INC.,1137-1167 65TH ST.,OAKLAND,CA,94608,0,0.000,E,High,38,0,Y,FINDS,Registry ID:,110065294862,110065294862,1023241554
A4,17432 ALAMEDA COUNTY ENVIRONMENTAL HEALTH,1137-1167 65TH ST,OAKLAND,CA,94608,0,0.000,E,High,38,0,Y,FINDS,Registry ID:,110043365499,110043365499,1014670293
A5,NADY SYSTEMS INC,1145 65TH ST,OAKLAND,CA,94608,0,0.000,NE,High,39,1,,RCRA-SQG,EPA Id,CAD083790899,CAD083790899,1000440812
A5,NADY SYSTEMS INC,1145 65TH ST,OAKLAND,CA,94608,0,0.000,NE,High,39,1,,FINDS,Registry ID:,110002661263,CAD083790899,1000440812
A5,NADY SYSTEMS INC,1145 65TH ST,OAKLAND,CA,94608,0,0.000,NE,High,39,1,,ECHO,Registry ID,110002661263,CAD083790899,1000440812
A6,NADY SYSTEM INC,1137 65TH ST,OAKLAND,CA,94608,0,0.000,NE,High,40,2,,Alameda County CS,Status,Pollution Characterization,,S106661089
A6,NADY SYSTEM INC,1137 65TH ST,OAKLAND,CA,94608,0,0.000,NE,High,40,2,,Alameda County CS,Status,Preliminary Site Assessment Workplan Submitted,,S106661089
A6,NADY SYSTEM INC,1137 65TH ST,OAKLAND,CA,94608,0,0.000,NE,High,40,2,,Alameda County CS,Status,11,,S106661089
A6,NADY SYSTEM INC,1137 65TH ST,OAKLAND,CA,94608,0,0.000,NE,High,40,2,,Alameda County CS,Record Id,RO0000082,,S106661089
A7,DELTA WESTERN INC,1144 65TH ST STE B,EMERYVILLE,CA,94608,87,0.016,NW,High,38,0,,HAZNET,GEPAID,CAC002748327,,S117304094
A8,STANTEC,1177 65TH ST,OAKLAND,CA,946081108,91,0.017,WSW,Low,36,-2,,HAZNET,GEPAID,CAC002631963,,S112971262
B9,ALTAIR GASSES & EQUIPMENT INC.,1171 OCEAN AVE,OAKLAND,CA,946080000,218,0.041,SSE,Low,36,-2,,HAZNET,GEPAID,CAL000019302,,S113028425
B10,PRAXAIR,1171 OCEAN AVE,OAKLAND,CA,946080000,218,0.041,SSE,Low,36,-2,,HAZNET,GEPAID,CAL000170927,,S113089756
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,CPS-SLIC,Facility Status,Open - Site Assessment,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,CPS-SLIC,Global Id,SLT19794747,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,VCP,Status,Inactive - Action Required,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,VCP,Facility Id,60000896,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,Alameda County CS,Status,Pollution Characterization,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,Alameda County CS,Status,Case Closed,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,Alameda County CS,Status,11,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,Alameda County CS,Status,Preliminary Site Assessment Underway,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,Alameda County CS,Record Id,RO0000858,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,Alameda County CS,Record Id,RO0002937,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,LUST,Facility Status,Case Closed,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,LUST,Status,Completed - Case Closed,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,LUST,Facility Id,01-0165,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,LUST,Global Id,T0600100153,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,LUST,date9,5/2/1996,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,ENVIROSTOR,Status,Inactive - Action Required,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,ENVIROSTOR,Facility Id,60000896,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,HIST CORTESE,Reg Id,01-0165,,S102425028
B11,1171 OCEAN AVENUE LLC PROPERTY,1171 OCEAN AVE,OAKLAND,CA,946081147,218,0.041,SSE,Low,36,-2,,CERS,,,,S102425028
C12,TRI CITIES LOFTS LLC,6501 SAN PABLO AVE,OAKLAND,CA,94608,236,0.045,NE,High,42,4,,HAZNET,GEPAID,CAC002588629,,S112944428
